SourceSchema;SourceTableName;SourceColumnName;SourceDataType;SourceColumnPrimaryKey;TransformationLogic;DestinationSchema;DestinationTableName;DestinationColumnName;DestinationDataType;DestinationColumnPrimaryKey
dbo;F4104;IVXRT;nchar(2);Y;DirectMove;SRC_JDEE1;ITEMMASTER;TYPECROSSREFERTYPEC;VARCHAR(2);ITEMCROSSREFERENCEFILE
dbo;F4104;IVAN8;float;Y;DirectMove;SRC_JDEE1;ITEMMASTER;ADDRESSNUMBER;NUMERIC(8,0);ITEMCROSSREFERENCEFILE
dbo;F4104;IVCARDNO;nchar(4);;DirectMove;SRC_JDEE1;ITEMMASTER;CARDNUMBER;VARCHAR(4);ITEMCROSSREFERENCEFILE
dbo;F4104;IVBPIND;nchar(1);;DirectMove;SRC_JDEE1;ITEMMASTER;BASEPRICEINDICATOR;VARCHAR(1);ITEMCROSSREFERENCEFILE
dbo;F4104;IVADIND;nchar(1);;DirectMove;SRC_JDEE1;ITEMMASTER;ADJUSTMENTINDICATOR;VARCHAR(1);ITEMCROSSREFERENCEFILE
dbo;F4104;IVCIRV;nchar(20);Y;DirectMove;SRC_JDEE1;ITEMMASTER;ITEMREVLEVELCUSTOMERSUPPLIER;VARCHAR(20);ITEMCROSSREFERENCEFILE
dbo;F4104;IVAPSS;nchar(1);;DirectMove;SRC_JDEE1;ITEMMASTER;APSSUBSTITUTE;VARCHAR(1);ITEMCROSSREFERENCEFILE
dbo;F4104;IVIDEM;nchar(1);;DirectMove;SRC_JDEE1;ITEMMASTER;TRANSFERDEMAND;VARCHAR(1);ITEMCROSSREFERENCEFILE
dbo;F4104;IVAPSP;float;;DirectMove;SRC_JDEE1;ITEMMASTER;SUBSTITUTEPRIORITY;NUMERIC(15,0);ITEMCROSSREFERENCEFILE
dbo;F4104;IVRATO;float;;DirectMove;SRC_JDEE1;ITEMMASTER;SUBSTITUTERATIO;NUMERIC(15,0);ITEMCROSSREFERENCEFILE
dbo;F4104;IVTDAY;float;;toDateTimeFormat();SRC_JDEE1;ITEMMASTER;TIMEOFDAY;NUMERIC(6,0);ITEMCROSSREFERENCEFILE
dbo;F4104;IVUPMJ;numeric(18,0);;DirectMove;SRC_JDEE1;ITEMMASTER;DATEUPDATED;NUMERIC(18,0);ITEMCROSSREFERENCEFILE
dbo;F4104;IVJOBN;nchar(10);;DirectMove;SRC_JDEE1;ITEMMASTER;WORKSTATIONID;VARCHAR(10);ITEMCROSSREFERENCEFILE
dbo;F4104;IVPID;nchar(10);;DirectMove;SRC_JDEE1;ITEMMASTER;PROGRAMID;VARCHAR(10);ITEMCROSSREFERENCEFILE
dbo;F4104;IVUSER;nchar(10);;DirectMove;SRC_JDEE1;ITEMMASTER;USERID;VARCHAR(10);ITEMCROSSREFERENCEFILE
dbo;F4104;IVURRF;nchar(15);;DirectMove;SRC_JDEE1;ITEMMASTER;USERRESERVEDREFERENCE;VARCHAR(15);ITEMCROSSREFERENCEFILE
dbo;F4104;IVURAB;float;;DirectMove;SRC_JDEE1;ITEMMASTER;USERRESERVEDNUMBER;NUMERIC(8,0);ITEMCROSSREFERENCEFILE
dbo;F4104;IVURAT;float;;DirectMove;SRC_JDEE1;ITEMMASTER;USERRESERVEDAMOUNT;NUMERIC(15,0);ITEMCROSSREFERENCEFILE
dbo;F4104;IVURDT;numeric(18,0);;DirectMove;SRC_JDEE1;ITEMMASTER;USERRESERVEDDATE;NUMERIC(18,0);ITEMCROSSREFERENCEFILE
dbo;F4104;IVURCD;nchar(2);;DirectMove;SRC_JDEE1;ITEMMASTER;USERRESERVEDCODE;VARCHAR(2);ITEMCROSSREFERENCEFILE
dbo;F4104;IVAITM;nchar(25);;DirectMove;SRC_JDEE1;ITEMMASTER;IDENTIFIER3RDITEM;VARCHAR(25);ITEMCROSSREFERENCEFILE
dbo;F4104;IVLITM;nchar(25);;DirectMove;SRC_JDEE1;ITEMMASTER;IDENTIFIER2NDITEM;VARCHAR(25);ITEMCROSSREFERENCEFILE
dbo;F4104;IVALN;nchar(30);;DirectMove;SRC_JDEE1;ITEMMASTER;SEARCHTEXTCOMPRESSED;VARCHAR(30);ITEMCROSSREFERENCEFILE
dbo;F4104;IVDSC2;nchar(30);;DirectMove;SRC_JDEE1;ITEMMASTER;DESCRIPTIONLINE2;VARCHAR(30);ITEMCROSSREFERENCEFILE
dbo;F4104;IVDSC1;nchar(30);;DirectMove;SRC_JDEE1;ITEMMASTER;DESCRIPTIONLINE1;VARCHAR(30);ITEMCROSSREFERENCEFILE
