SourceSchema;SourceTableName;SourceColumnName;SourceDataType;SourceColumnPrimaryKey;TransformationLogic;DestinationSchema;DestinationTableName;DestinationColumnName;DestinationDataType;DestinationColumnPrimaryKey
dbo;USER;delegatorOfAutoDelegateConfigNav;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;DELEGATOROFAUTODELEGATECONFIGNAV;VARCHAR(4000);
dbo;USER;department;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;DEPARTMENT;VARCHAR(4000);
dbo;USER;directReports;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;DIRECTREPORTS;VARCHAR(4000);
dbo;USER;division;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;DIVISION;VARCHAR(4000);
dbo;USER;email;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;EMAIL;VARCHAR(4000);
dbo;USER;empId;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;EMPID;VARCHAR(4000);
dbo;USER;empInfo;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;EMPINFO;VARCHAR(4000);
dbo;USER;emplStatus;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;EMPLSTATUS;VARCHAR(4000);
dbo;USER;employee_class;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;EMPLOYEE_CLASS;VARCHAR(4000);
dbo;USER;employmentIdentityOfDRTMPurgeFreezeNav;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;EMPLOYMENTIDENTITYOFDRTMPURGEFREEZENAV;VARCHAR(4000);
dbo;USER;ethnicity;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;ETHNICITY;VARCHAR(4000);
dbo;USER;ethnicityNav;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;ETHNICITYNAV;VARCHAR(4000);
dbo;USER;externalCodeOfcust_AAP_1Nav;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;EXTERNALCODEOFCUST_AAP_1NAV;VARCHAR(4000);
dbo;USER;externalCodeOfcust_Abs_1Nav;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;EXTERNALCODEOFCUST_ABS_1NAV;VARCHAR(4000);
dbo;USER;externalCodeOfcust_BenefPlan_1Nav;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;EXTERNALCODEOFCUST_BENEFPLAN_1NAV;VARCHAR(4000);
dbo;USER;externalCodeOfcust_Benef_1Nav;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;EXTERNALCODEOFCUST_BENEF_1NAV;VARCHAR(4000);
dbo;USER;externalCodeOfcust_Carcino_1Nav;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;EXTERNALCODEOFCUST_CARCINO_1NAV;VARCHAR(4000);
dbo;USER;externalCodeOfcust_DKTax_parentNav;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;EXTERNALCODEOFCUST_DKTAX_PARENTNAV;VARCHAR(4000);
