SourceSchema;SourceTableName;SourceColumnName;SourceDataType;SourceColumnPrimaryKey;TransformationLogic;DestinationSchema;DestinationTableName;DestinationColumnName;DestinationDataType;DestinationColumnPrimaryKey
dbo;F4101;IMALN;nchar(30);;DirectMove;SRC_JDEE1;ITEMMASTER;SEARCHTEXTCOMPRESSED;VARCHAR(30);
dbo;F4101;IMSRP1;nchar(3);;DirectMove;SRC_JDEE1;ITEMMASTER;SALESREPORTINGCODE1;VARCHAR(3);
dbo;F4101;IMSRP2;nchar(3);;DirectMove;SRC_JDEE1;ITEMMASTER;SALESREPORTINGCODE2;VARCHAR(3);
dbo;F4101;IMSRP3;nchar(3);;DirectMove;SRC_JDEE1;ITEMMASTER;SALESREPORTINGCODE3;VARCHAR(3);
dbo;F4101;IMSRP4;nchar(3);;DirectMove;SRC_JDEE1;ITEMMASTER;SALESREPORTINGCODE4;VARCHAR(3);
dbo;F4101;IMSRP5;nchar(3);;DirectMove;SRC_JDEE1;ITEMMASTER;SALESREPORTINGCODE5;VARCHAR(3);
dbo;F4101;IMSRP6;nchar(6);;DirectMove;SRC_JDEE1;ITEMMASTER;SALESREPORTINGCODE6;VARCHAR(6);
dbo;F4101;IMSRP7;nchar(6);;DirectMove;SRC_JDEE1;ITEMMASTER;SALESREPORTINGCODE7;VARCHAR(6);
dbo;F4101;IMSRP8;nchar(6);;DirectMove;SRC_JDEE1;ITEMMASTER;SALESREPORTINGCODE8;VARCHAR(6);
dbo;F4101;IMSRP9;nchar(6);;DirectMove;SRC_JDEE1;ITEMMASTER;SALESREPORTINGCODE9;VARCHAR(6);
dbo;F4101;IMSRP0;nchar(6);;DirectMove;SRC_JDEE1;ITEMMASTER;SALESREPORTINGCODE10;VARCHAR(6);
dbo;F4101;IMPRP1;nchar(3);;DirectMove;SRC_JDEE1;ITEMMASTER;PURCHASINGREPORTCODE1;VARCHAR(3);
dbo;F4101;IMPRP2;nchar(3);;DirectMove;SRC_JDEE1;ITEMMASTER;PURCHASINGREPORTCODE2;VARCHAR(3);
dbo;F4101;IMPRP3;nchar(3);;DirectMove;SRC_JDEE1;ITEMMASTER;PURCHASINGREPORTCODE3;VARCHAR(3);
dbo;F4101;IMPRP4;nchar(3);;DirectMove;SRC_JDEE1;ITEMMASTER;PURCHASINGREPORTCODE4;VARCHAR(3);
dbo;F4101;IMPRP5;nchar(3);;DirectMove;SRC_JDEE1;ITEMMASTER;PURCHASINGREPORTCODE5;VARCHAR(3);
dbo;F4101;IMPRP6;nchar(6);;DirectMove;SRC_JDEE1;ITEMMASTER;PURCHREPORTINGCODE6;VARCHAR(6);
dbo;F4101;IMPRP7;nchar(6);;DirectMove;SRC_JDEE1;ITEMMASTER;PURCHREPORTINGCODE7;VARCHAR(6);
